STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,58.1065,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,44.8158,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,38.6043,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,32.2505,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAU,Saudi Arabia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2016,55.4965,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAU,Saudi Arabia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,70.9,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAU,Saudi Arabia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,68.4329,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAU,Saudi Arabia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,67.7763,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAU,Saudi Arabia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,73.7932,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAU,Saudi Arabia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,86.5841,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAU,Saudi Arabia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,92.8,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAU,Saudi Arabia,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,92.9,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2002,48.456,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2003,55.5421,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2004,63.2778,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2005,65.9997,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2006,70.4884,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2007,75.1856,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2008,77.7087,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2009,76.454,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2010,77.7532,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2011,80.78,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,82.0021,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,81.9876,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2014,80.9768,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,83.7915,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,85.1962,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2008,24.8033,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2009,30.8,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2010,38.0138,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,71.7,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,71.7,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,74.1,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,77.5,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,79.8,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,81.5,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,82.6,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2009,43.3148,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2010,44.1165,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,51.3816,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2014,49.5499,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2016,16.1768,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,42.4022,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,38.6467,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,31.2166,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,39.8888,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,34.1998,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,37.5623,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,39.9496,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,ITU_DH_INV_COMP,Percentage of individuals using a computer (ITU),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_HH,Percentage of households,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2024,38.6693,MEAN,Mean,ITU_DH,ITU DataHub,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
